                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77434,                0.77467,                 1.2351,                0.65585,                0.31845,                0.32207,                0.28291,                0.58925,                0.48582,                0.93758,               0.006535,               0.006535,               0.006535
                     37,                0.78896,                0.76695,                 1.2351,                0.97004,                 0.6309,                0.70024,                0.63934,                0.56458,                0.41815,                0.91828,               0.006436,               0.006436,               0.006436
                     38,                0.77303,                0.75868,                 1.2314,                0.64029,                0.97071,                0.72011,                0.65381,                0.54128,                0.49254,                0.89437,               0.006337,               0.006337,               0.006337
                     39,                0.78137,                0.75252,                 1.2239,                0.62466,                0.94067,                0.81915,                0.77062,                0.51682,                0.43334,                0.88668,               0.006238,               0.006238,               0.006238
                     40,                0.77328,                 0.7474,                 1.2252,                0.95326,                0.62407,                0.66504,                0.59803,                0.52808,                0.43305,                0.89131,               0.006139,               0.006139,               0.006139
                     41,                0.77399,                0.75286,                 1.2335,                0.83024,                0.92204,                0.98238,                0.94709,                0.52718,                0.51048,                0.89965,                0.00604,                0.00604,                0.00604
                     42,                0.75513,                0.74707,                 1.2126,                0.92275,                 0.9305,                0.98453,                0.78335,                0.56339,                0.43375,                0.90741,               0.005941,               0.005941,               0.005941
                     43,                0.75991,                0.74593,                 1.2133,                0.89175,                0.95645,                0.98343,                 0.7834,                0.52017,                0.41995,                0.88849,               0.005842,               0.005842,               0.005842
                     44,                0.73935,                0.73171,                 1.1999,                0.66952,                0.98585,                0.98663,                0.85564,                0.51023,                0.40223,                0.88207,               0.005743,               0.005743,               0.005743
                     45,                0.73181,                0.71051,                 1.1941,                0.62921,                 0.9792,                0.73701,                0.65377,                 0.5229,                0.40669,                0.89197,               0.005644,               0.005644,               0.005644
                     46,                0.74929,                0.69723,                 1.2203,                0.62649,                0.95635,                0.81837,                0.70481,                0.53024,                0.43641,                0.89757,               0.005545,               0.005545,               0.005545
                     47,                0.73719,                0.71017,                 1.1954,                0.93087,                0.60914,                0.70862,                0.67026,                0.50891,                0.43104,                0.88499,               0.005446,               0.005446,               0.005446
                     48,                 0.7369,                0.69581,                 1.2032,                0.76805,                0.96824,                0.98331,                0.95056,                0.54256,                0.42635,                0.90348,               0.005347,               0.005347,               0.005347
                     49,                0.73989,                0.72494,                 1.2046,                0.86875,                 0.9707,                0.98437,                0.88305,                0.54821,                0.41171,                0.89877,               0.005248,               0.005248,               0.005248
                     50,                0.71088,                0.67586,                 1.1765,                0.69469,                   0.98,                0.76076,                0.65228,                0.51369,                0.50058,                0.88371,               0.005149,               0.005149,               0.005149
                     51,                0.71845,                0.72958,                 1.1824,                0.66992,                0.98624,                0.73544,                0.65055,                0.55231,                0.42868,                 0.8964,                0.00505,                0.00505,                0.00505
                     52,                0.69234,                 0.6754,                 1.1785,                0.64192,                0.97028,                0.73459,                0.65099,                0.52765,                0.43812,                0.89229,               0.004951,               0.004951,               0.004951
                     53,                0.70081,                0.69448,                 1.1906,                0.82325,                 0.9692,                0.98616,                0.75122,                 0.5465,                0.40381,                0.89296,               0.004852,               0.004852,               0.004852
                     54,                0.71521,                0.71825,                 1.1883,                0.71285,                0.97817,                0.76492,                0.69092,                 0.5281,                0.38995,                0.89235,               0.004753,               0.004753,               0.004753
                     55,                0.70665,                0.68075,                 1.1793,                0.89941,                0.96192,                0.98448,                0.88695,                0.51079,                0.39422,                0.88557,               0.004654,               0.004654,               0.004654
                     56,                0.73883,                0.68457,                 1.2141,                0.77236,                0.96764,                0.98456,                0.91979,                 0.5163,                0.39164,                0.88705,               0.004555,               0.004555,               0.004555
                     57,                0.70019,                0.64679,                 1.1857,                0.90804,                0.94602,                0.98462,                0.88721,                0.51797,                0.39349,                0.88902,               0.004456,               0.004456,               0.004456
                     58,                0.65661,                0.66623,                 1.1607,                0.78222,                0.97379,                0.98475,                 0.9189,                0.50647,                0.39223,                 0.8911,               0.004357,               0.004357,               0.004357
                     59,                0.68108,                0.67905,                 1.1676,                0.83867,                0.97633,                0.98479,                0.82264,                0.51657,                0.38009,                0.89256,               0.004258,               0.004258,               0.004258
                     60,                0.68424,                0.67132,                 1.1663,                0.95007,                0.63615,                 0.6859,                 0.6479,                0.51252,                0.38074,                0.88884,               0.004159,               0.004159,               0.004159
                     61,                 0.6747,                0.67476,                 1.1639,                0.66068,                0.97279,                0.71801,                0.64612,                0.53632,                0.41801,                 0.9019,                0.00406,                0.00406,                0.00406
                     62,                0.64895,                0.63092,                 1.1395,                0.76369,                 0.9644,                0.82008,                0.79173,                 0.5112,                0.37473,                0.89182,               0.003961,               0.003961,               0.003961
                     63,                0.66669,                0.66338,                 1.1621,                0.69978,                 0.9727,                0.82066,                0.79302,                0.52682,                 0.3826,                0.89289,               0.003862,               0.003862,               0.003862
                     64,                0.66294,                0.66564,                 1.1603,                0.91638,                0.94349,                0.98642,                0.89123,                0.51295,                0.37354,                0.88494,               0.003763,               0.003763,               0.003763
                     65,                0.67106,                0.62655,                 1.1512,                0.79311,                0.94296,                0.98427,                0.92151,                0.51081,                0.38327,                 0.8826,               0.003664,               0.003664,               0.003664
                     66,                0.63668,                 0.6289,                 1.1485,                0.86832,                0.95251,                0.98428,                0.85516,                0.48557,                0.39372,                0.87059,               0.003565,               0.003565,               0.003565
                     67,                0.67388,                0.64824,                  1.155,                0.75318,                0.97492,                0.98638,                0.92373,                0.51378,                 0.3572,                0.88728,               0.003466,               0.003466,               0.003466
                     68,                0.65163,                0.59358,                 1.1444,                0.73228,                0.97815,                0.98498,                0.89099,                0.49219,                0.34767,                0.87485,               0.003367,               0.003367,               0.003367
                     69,                0.63256,                0.59006,                 1.1338,                0.54505,                0.98313,                0.70106,                0.63427,                0.49861,                0.37119,                0.87789,               0.003268,               0.003268,               0.003268
                     70,                0.61473,                0.59073,                 1.1337,                0.59495,                0.96955,                0.70201,                 0.6616,                0.49765,                  0.387,                0.88459,               0.003169,               0.003169,               0.003169
                     71,                0.63273,                0.59545,                 1.1366,                0.65058,                0.96943,                0.73634,                0.69859,                0.51272,                0.40025,                0.88641,                0.00307,                0.00307,                0.00307
                     72,                0.61267,                0.57732,                 1.1272,                0.62513,                0.62861,                0.67002,                0.63557,                0.50588,                0.39249,                0.88324,               0.002971,               0.002971,               0.002971
                     73,                0.60745,                0.56339,                 1.1158,                0.67781,                0.97381,                0.76425,                0.69161,                0.48984,                0.35509,                0.87399,               0.002872,               0.002872,               0.002872
